Movie,Tags,Rating,Meta_score,Preview,Stars,Director,Writer
The Matrix,"Action Epic,Dystopian Sci-Fi,Cyberpunk,Cinematography,Dystopian elements,Martial Arts,Religious themes,Back to top,Sci-Fi Epic,Special effects,Action sequences,Artificial Intelligence,Sci-Fi,Philosophical elements,Gun Fu,Character development,Thought-provoking,Action",8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Carrie-Anne Moss,Laurence Fishburne,Keanu Reeves",,
Star Wars: Episode V - The Empire Strikes Back,"Cinematography,Back to top,Iconic score,Iconic lines,Special effects,Epic,Space Sci-Fi,Quest,Dark tone,Dark Fantasy,Dystopian Sci-Fi,Sword & Sorcery,Sci-Fi Epic,Action sequences,Adventure Epic,Character development,Worldbuilding,Action Epic,Fantasy Epic,Suspenseful,Iconic scene",8.7,82,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Carrie Fisher,Mark Hamill,Harrison Ford",,
Inception,"Back to top,Dreamlike,Pacing,Special effects,Epic,Psychological Thriller,Sci-Fi,Iconic ending,Narrative complexity,Confusing,Sci-Fi Epic,Adventure Epic,Character development,Action Epic,Adventure,Ambitious,Thought-provoking,Action,Thriller",8.8,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Leonardo DiCaprio,Elliot Page,Joseph Gordon-Levitt",,
Interstellar,"Cinematography,Soundtrack,Back to top,Family dynamics,Drama,Emotional stakes,Cosmic wonder,Epic,Space Sci-Fi,Sci-Fi,Time Travel,Quest,Sci-Fi Epic,Adventure Epic,Scientific depth,Psychological Drama,Adventure,Ambitious,Thought-provoking",8.7,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Matthew McConaughey,Jessica Chastain,Anne Hathaway",,
Fight Club,"Cinematography,Back to top,Narrative complexity,Drama,Direction,Psychological depth,Allegorical elements,Psychological Drama,Workplace Drama,Psychological Thriller,Social commentary,Dark Comedy,Sound design,Performance,Crime,Thought-provoking,Thriller",8.8,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Brad Pitt,Edward Norton,Meat Loaf",,
The Lord of the Rings: The Two Towers,"Cinematography,Back to top,Drama,Creature design,Adaptation,Epic,Quest,Dark Fantasy,Sword & Sorcery,Fantasy,Action sequences,Adventure Epic,Dramatic tension,Character development,Friendship,Worldbuilding,Action Epic,Fantasy Epic,Adventure",8.8,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Viggo Mortensen,Ian McKellen,Elijah Wood",,
Forrest Gump,"Back to top,Nostalgic,Adaptation,Heartfelt,Drama,Romance,Personal growth,Epic,Inspirational,Comedic brilliance,Friendship",8.8,82,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Robin Wright,Tom Hanks,Gary Sinise",,
Saving Private Ryan,"Cinematography,Back to top,Historical accuracy,Drama,Direction,Emotional weight,Action sequences,Epic,Technical achievement,Sound design,Period Drama,Performance,War,Realism,Iconic opening,War Epic",8.6,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","Tom Hanks,Tom Sizemore,Matt Damon",,
Pulp Fiction,"Cinematography,Back to top,Authentic emotion,Dark humor,Drama,Iconic soundtrack,Drug Crime,Non-linear structure,Gangster,Atmospheric,Dark Comedy,Genre blending,Comedic brilliance,Crime",8.8,95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Samuel L. Jackson,John Travolta,Uma Thurman",,
Schindler's List,"Cinematography,Back to top,History,Drama,Authentic emotion,Biography,Direction,Epic,Atmospheric,Historical accuracy,Symbolism,Prison Drama,Tragedy,Period Drama,Performance,Character development,Historical Epic,Musical score,Docudrama",9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson,Ben Kingsley,Ralph Fiennes",,
"The Good, the Bad and the Ugly","Cinematography,Back to top,Iconic score,Western Epic,Thin story,Direction,Epic,Atmospheric,Quest,Desert Adventure,Great ensemble,Action sequences,Adventure Epic,Dark Comedy,Period Drama,Dramatic tension,Action Epic,Spaghetti Western,Adventure,Iconic scene",8.8,90,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Clint Eastwood,Eli Wallach,Lee Van Cleef",,
The Lord of the Rings: The Fellowship of the Ring,"Cinematography,Back to top,Drama,Adaptation,Authentic emotion,Special effects,Epic,Quest,Dark Fantasy,Sword & Sorcery,Fantasy,Adventure Epic,Character development,Friendship,Worldbuilding,Action Epic,Fantasy Epic,Production design,Adventure,Ambitious",8.9,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Ian McKellen,Orlando Bloom,Elijah Wood",,
Inglourious Basterds,"Back to top,Drama,Dark Comedy,Adventure,Period Drama,War",8.4,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Diane Kruger,Eli Roth,Brad Pitt",,
12th Fail,"Cinematography,Back to top,Authentic emotion,Family dynamics,Drama,Biography,Direction,Docudrama,Social commentary,Inspirational,Performance,Realism",8.7,N/A,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Anant Joshi,Medha Shankr,Vikrant Massey",,
The Dark Knight Rises,"Action Epic,Cinematography,Pacing,Back to top,Drama,Direction,Emotional weight,Action sequences,Epic,Sound design,Superhero,Ambitious,Satisfying ending,Performance,Character development,Crime,Action,Thriller",8.4,78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Anne Hathaway,Tom Hardy,Christian Bale",,
The Great Dictator,"Back to top,Historical accuracy,Dark humor,Drama,Satire,Iconic performance,Political Drama,Social commentary,Dark Comedy,Parody,Enduring legacy,Slapstick,Comedy,War,Thought-provoking,Comedic brilliance",8.4,N/A,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Paulette Goddard,Charles Chaplin,Jack Oakie",,
Aliens,"Cyberpunk,Back to top,Creature design,Thrilling,Iconic lines,Chemistry,Pacing,Derivative,Special effects,Space Sci-Fi,Sci-Fi,Monster Horror,Horror,Action sequences,Survival,Tragedy,Alien Invasion,Character development,Suspenseful,Adventure,Action",8.4,84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Carrie Henn,Sigourney Weaver,Michael Biehn",,
The Shining,"Horror,Cinematography,Back to top,Drama,Direction,Suspenseful,Psychological Drama,Psychological Horror,Iconic performance,Production design,Atmospheric,Sound design,Supernatural Horror,Adaptation,Character development,Psychological depth",8.4,68,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Danny Lloyd,Jack Nicholson,Shelley Duvall",,
Paths of Glory,"Back to top,Legal Drama,Authentic emotion,Historical accuracy,Drama,Direction,Suspenseful,Psychological Drama,Epic,Political Drama,Social commentary,Tragedy,Period Drama,Performance,War,Realism,Thought-provoking,War Epic",8.4,90,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,"Ralph Meeker,Adolphe Menjou,Kirk Douglas",,
Witness for the Prosecution,"Unpredictable,Legal Thriller,Legal Drama,Back to top,Whodunnit,Dark humor,Drama,Narrative complexity,Suspenseful,Great ensemble,Iconic performance,Comedic brilliance,Mystery,Crime,Thriller",8.4,76,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Marlene Dietrich,Charles Laughton,Tyrone Power",,
Sunset Boulevard,"Cinematography,Back to top,Drama,Symbolism,Mental health,Psychological Drama,Iconic performance,Gothic,Social commentary,Tragedy,Dark Comedy,Showbiz Drama,Dark tone,Film Noir,Narration",8.4,94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden,Gloria Swanson,Erich von Stroheim",,
Spider-Man: Into the Spider-Verse,"Soundtrack,Back to top,Coming-of-Age,Family dynamics,Teen Adventure,Quirky Comedy,Animation style,Urban Adventure,Supernatural Fantasy,Action sequences,Teen Drama,Superhero,Visual innovation,Comedic brilliance,Character development,Computer Animation,Social commentary,Action,Teen Comedy",8.4,87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Hailee Steinfeld,Shameik Moore,Jake Johnson",,
The Lives of Others,"Freedom,Back to top,Historical accuracy,Dystopian elements,Drama,Psychological Drama,Atmospheric,Morality,Social commentary,Spy,Performance,Mystery,Character development,Political Thriller,Thriller",8.4,89,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Ulrich Mühe,Martina Gedeck,Sebastian Koch",,
Avengers: Infinity War,"Unpredictable,Back to top,Great ensemble,Action sequences,Emotional stakes,Space Sci-Fi,Sci-Fi,Epic,Superhero,Adventure,Comedic brilliance,Thrilling,Character development,Action",8.4,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Mark Ruffalo,Robert Downey Jr.,Chris Hemsworth",,
Memento,"Back to top,Originality,Rewatchable,Narrative complexity,Drama,Direction,Confusing,Mental health,Non-linear structure,Psychological Thriller,Suspense Mystery,Performance,Mystery,Thought-provoking,Thriller",8.4,83,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,"Joe Pantoliano,Carrie-Anne Moss,Guy Pearce",,
Raiders of the Lost Ark,"Back to top,Nostalgic,Iconic score,Thin story,Special effects,Globetrotting Adventure,Iconic performance,Action sequences,Production design,Adventure Epic,Quest,Adventure,Desert Adventure,Thrilling,Character development,Action,Comedic brilliance",8.4,86,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.","Karen Allen,Paul Freeman,Harrison Ford",,
Amadeus,"Back to top,Costume design,Inner conflict,Religious themes,Drama,Biography,Music,Direction,Performance,Epic,Costume Drama,Tragedy,Period Drama,Comedic brilliance,Historical accuracy,Musical score",8.4,87,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.","Elizabeth Berridge,Tom Hulce,F. Murray Abraham",,
Dune: Part Two,"Worldbuilding,Action Epic,Cinematography,Pacing,Back to top,Drama,Direction,Sci-Fi Epic,Performance,Epic,Space Sci-Fi,Sci-Fi,Sound design,Adventure,Adaptation,Desert Adventure,Character development,Action",8.5,79,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.","Timothée Chalamet,Zendaya,Rebecca Ferguson",,
WALL·E,"Computer Animation,Dystopian Sci-Fi,Animation style,Back to top,Authentic emotion,Dystopian elements,Family,Psychological Drama,Artificial Intelligence,Space Sci-Fi,Adventure Epic,Sci-Fi,Adventure,Animation,Romantic,Social commentary,Environmentalism",8.4,95,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Elissa Knight,Ben Burtt,Jeff Garlin",,
The Sting,"Back to top,Iconic score,Caper,Narrative complexity,Drama,Suspenseful,Great ensemble,Iconic performance,Production design,Satisfying ending,Comedy,Crime,Chemistry,Comedic brilliance",8.2,83,Two grifters team up to pull off the ultimate con.,"Paul Newman,Robert Redford,Robert Shaw",,
A Clockwork Orange,"Dystopian Sci-Fi,Artistic vision,Back to top,Dystopian elements,Iconic performance,Sexuality,Sci-Fi,Philosophical elements,Dark Comedy,Social commentary,Dark tone,Adaptation,Character development,Crime,Thought-provoking",8.2,77,Alex DeLarge and his droogs barbarize a decaying near-future.,"Patrick Magee,Michael Bates,Malcolm McDowell",,
Die Hard,"Back to top,One-Person Army Action,Holiday,Direction,Suspenseful,Special effects,Iconic performance,Action sequences,Disaster,Comedic brilliance,Thrilling,Realism,Iconic lines,Action,Thriller",8.2,72,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.","Bruce Willis,Alan Rickman,Bonnie Bedelia",,
To Kill a Mockingbird,"Cinematography,Back to top,Legal Drama,Adaptation,Family dynamics,Drama,Symbolism,Morality,Period Drama,Performance,Character development,Crime,Thought-provoking",8.3,88,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,"Gregory Peck,John Megna,Frank Overton",,
Indiana Jones and the Last Crusade,"Back to top,Set pieces,Iconic score,Family dynamics,Direction,Globetrotting Adventure,Production design,Action sequences,Adventure Epic,Quest,Adventure,Desert Adventure,Character development,Chemistry,Action,Comedic brilliance",8.2,65,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Alison Doody,Sean Connery,Harrison Ford",,
A Separation,"Cinematography,Back to top,Legal Drama,Authentic emotion,Religious themes,Family dynamics,Drama,Direction,Narrative complexity,Psychological Drama,Social commentary,Morality,Performance",8.3,95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Sareh Bayat,Leila Hatami,Payman Maadi",,
Like Stars on Earth,"Relatable,Cinematography,Back to top,Coming-of-Age,Authentic emotion,Adaptation,Drama,Family,Direction,Emotional weight,Social commentary,Inspirational,Performance",8.3,N/A,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,"Tisca Chopra,Aamir Khan,Darsheel Safary",,
Amélie,"Cinematography,Soundtrack,Back to top,Authentic emotion,Romance,Romantic Comedy,Atmospheric,Romantic,Feel-Good Romance,Quirky Comedy,Visual innovation,Comedy,Charming,Comedic brilliance",8.3,70,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.","Rufus,Mathieu Kassovitz,Audrey Tautou",,
Vertigo,"Cinematography,Dreamlike,Back to top,Thin story,Romance,Suspenseful,Psychological depth,Symbolism,Psychological Thriller,Suspense Mystery,Atmospheric,Tragedy,Ambitious,Mystery,Character development,Musical score,Thriller",8.2,100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Barbara Bel Geddes,James Stewart,Kim Novak",,
Full Metal Jacket,"Duality,Standout performance,Back to top,Historical accuracy,Dark humor,Drama,Direction,Psychological Drama,Character development,Action sequences,Dark Comedy,Period Drama,Uneven quality,War,Realism,Psychological depth",8.2,78,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"R. Lee Ermey,Matthew Modine,Vincent D'Onofrio",,
M,"Standout performance,Cinematography,Back to top,Serial Killer,Direction,Psychological depth,Suspenseful,Psychological Thriller,Suspense Mystery,Atmospheric,Morality,Social commentary,Mystery,Historical accuracy,Crime,Thriller",8.3,N/A,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre,Ellen Widmann,Inge Landgut",,
Citizen Kane,"Artistic vision,Cinematography,Back to top,Authentic emotion,Narrative complexity,Drama,Symbolism,Epic,Atmospheric,Technical achievement,Tragedy,Enduring legacy,Period Drama,Mystery,Thought-provoking",8.3,100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Joseph Cotten,Dorothy Comingore,Orson Welles",,
North by Northwest,"Iconic imagery,Back to top,Thrilling,Drama,Direction,Suspenseful,Action sequences,Adventure,Spy,Adaptation,Comedic brilliance,Mystery,Character development,Chemistry,Thriller",8.3,98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Cary Grant,James Mason,Eva Marie Saint",,
Heat,"Cinematography,Soundtrack,Back to top,Drama,Thrilling,Pacing,Cop Drama,Direction,Epic,Gangster,Heist,Great ensemble,Action sequences,Performance,Dramatic tension,Character development,Action Epic,Crime,Action",8.3,76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Robert De Niro,Al Pacino,Val Kilmer",,
Up,"Back to top,Coming-of-Age,Family dynamics,Drama,Comedy,Animation style,Authentic emotion,Family,Quest,Buddy Comedy,Emotional weight,Globetrotting Adventure,Animation,Inspirational,Comedic brilliance,Character development,Friendship,Computer Animation,Adventure",8.3,88,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","John Ratzenberger,Edward Asner,Jordan Nagai",,
Double Indemnity,"Cinematography,Dialogue,Back to top,Mystery,Drama,Direction,Suspenseful,Hard-boiled Detective,Atmospheric,Enduring legacy,Dark tone,Performance,Film Noir,Crime,Narration,Thriller",8.3,95,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.","Barbara Stanwyck,Fred MacMurray,Edward G. Robinson",,
Oppenheimer,"Cinematography,Inner conflict,History,Pacing,Back to top,Narrative complexity,Drama,Biography,Psychological Drama,Docudrama,Epic,Sound design,Period Drama,Performance,Historical accuracy,Historical Epic,Scientific depth",8.3,90,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.","Emily Blunt,Matt Damon,Cillian Murphy",,
The Elephant Man,"Back to top,Authentic emotion,Human experience,Drama,Biography,Docudrama,Inspirational,Atmospheric,Social commentary,Tragedy,Dramatic depth,Period Drama,Makeup",8.2,78,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","John Hurt,Anthony Hopkins,Anne Bancroft",,
The Great Escape,"Back to top,Iconic score,Drama,Courage,Thrilling,Freedom,Epic,Historical accuracy,War,Great ensemble,Action sequences,Prison Drama,Period Drama,Character development,Friendship,War Epic,Suspenseful,Adventure,Thriller",8.2,86,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,"Steve McQueen,James Garner,Richard Attenborough",,
Monty Python and the Holy Grail,"Back to top,Parody,Comedy,Iconic lines,Sketch Comedy,Iconic performance,Quest,Unpredictable,Sword & Sorcery,Fantasy,Generational appeal,Comedic brilliance,Suspenseful,Satire,Farce,Slapstick,Adventure,Iconic scene,Fourth wall breaks",8.2,91,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Eric Idle,John Cleese,Graham Chapman",,
Howl's Moving Castle,"Hand-Drawn Animation,Worldbuilding,Back to top,Animation style,Supernatural Fantasy,Fantastical elements,Visual spectacle,Family dynamics,Family,Confusing,Fantasy,Romantic,Adventure Epic,Adventure,Animation,Adaptation,Character development,Anime",8.2,82,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Takuya Kimura,Tatsuya Gashûin,Chieko Baishô",,
Finding Nemo,"Computer Animation,Back to top,Animation style,Thin story,Animal Adventure,Family dynamics,Comedy,Buddy Comedy,Family,Emotional weight,Generational appeal,Quest,Adventure,Sea Adventure,Animation,Character development,Friendship,Comedic brilliance",8.2,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks,Alexander Gould,Ellen DeGeneres",,
The Best of Youth,"Epic,Drama,Romance,Back to top",8.5,89,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,"Alessio Boni,Luigi Lo Cascio,Jasmine Trinca",,
Yojimbo,"Fight choreography,Cinematography,One-Person Army Action,Samurai,Adaptation,Back to top,Drama,Direction,Iconic performance,Action sequences,Enduring legacy,Period Drama,Performance,Thrilling,Character development,Action,Thriller",8.2,93,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Eijirô Tôno,Toshirô Mifune,Tatsuya Nakadai",,
The Treasure of the Sierra Madre,"Cinematography,Inner conflict,Back to top,Drama,Direction,Atmospheric,Morality,Tragedy,Survival,Adventure,Dramatic tension,Western,Friendship",8.2,98,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Humphrey Bogart,Walter Huston,Tim Holt",,
Prisoners,"Back to top,Drama,Psychological Thriller,Suspense Mystery,Mystery,Crime,Thriller",8.2,70,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",,
Pan's Labyrinth,"Cinematography,Back to top,Coming-of-Age,Drama,Creature design,Fairy Tale,Authentic emotion,Atmospheric,War,Dark Fantasy,Supernatural Fantasy,Narrative complexity,Symbolism,Fantasy,Tragedy,Period Drama,Character development,Production design,Teen Fantasy,Ambitious",8.2,98,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.","Ariadna Gil,Sergi López,Ivana Baquero",,
A Beautiful Mind,"Cinematography,Back to top,Authentic emotion,Drama,Biography,Direction,Mental health,Psychological Drama,Docudrama,Inspirational,Dramatic depth,Period Drama,Performance,Mystery,Historical accuracy,Chemistry",8.2,72,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Russell Crowe,Jennifer Connelly,Ed Harris",,
Unforgiven,"Cinematography,Inner conflict,Back to top,Authentic emotion,Drama,Direction,Atmospheric,Morality,Tragedy,Period Drama,Performance,Western,Realism",8.2,85,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".","Clint Eastwood,Morgan Freeman,Gene Hackman",,
Kill Bill: Vol. 1,"Fight choreography,Cinematography,One-Person Army Action,Back to top,Authentic emotion,Kung Fu,Martial Arts,Iconic score,Iconic performance,Action sequences,Stunts,Genre blending,Iconic imagery,Crime,Action,Thriller",8.2,69,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","David Carradine,Uma Thurman,Daryl Hannah",,
Dial M for Murder,"Cinematography,Dialogue,Back to top,Narrative complexity,Drama,Direction,Suspenseful,Ambitious,Adaptation,Performance,Mystery,Thrilling,Crime,Thriller",8.2,75,"A London playboy plots the perfect murder of his rich, unfaithful Wife.","Grace Kelly,Robert Cummings,Ray Milland",,
The Thing,"Cinematography,Soundtrack,Rewatchable,Back to top,Psychological Horror,Creature design,Suspense Mystery,Practical effects,Horror craft,Direction,Sci-Fi,Atmospheric,Monster Horror,Enduring legacy,Mystery,Horror,Tragedy,Alien Invasion,Body Horror,Suspenseful,Supernatural Horror",8.2,57,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Keith David,Kurt Russell,Wilford Brimley",,
