Movie,Year,Tags,Rating,Meta_score,Preview,Stars,Directors,Writers,Link
Interstellar,Cast & crew,"Cosmic wonder,Soundtrack,Ambitious,Adventure",8.7,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Matthew McConaughey,Jessica Chastain,Anne Hathaway",Christopher Nolan,"Jonathan Nolan,Christopher Nolan",https://www.imdb.com//title/tt0816692/?ref_=chttp_t_18
One Flew Over the Cuckoo's Nest,Cast & crew,"Drama,Dramatic tension,Social commentary,Medical Drama",8.7,84,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.","Jack Nicholson,Michael Berryman,Louise Fletcher",Milos Forman,",Ken Kesey,Bo Goldman,Writers,Lawrence Hauben",https://www.imdb.com//title/tt0073486/?ref_=chttp_t_19
It's a Wonderful Life,Cast & crew,"Romance,Friendship,Meaning of life,Heartfelt",8.6,89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Donna Reed,James Stewart,Lionel Barrymore",Frank Capra,",Albert Hackett,Frances Goodrich,Writers,Frank Capra",https://www.imdb.com//title/tt0038650/?ref_=chttp_t_21
Goodfellas,Cast & crew,"Drama,Soundtrack,True Crime,Cinematography",8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Robert De Niro,Joe Pesci,Ray Liotta",Martin Scorsese,",Nicholas Pileggi,Writers,Martin Scorsese",https://www.imdb.com//title/tt0099685/?ref_=chttp_t_17
Star Wars: Episode V - The Empire Strikes Back,Cast & crew,"Dark tone,Sword & Sorcery,Adventure Epic,Suspenseful",8.7,82,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Carrie Fisher,Mark Hamill,Harrison Ford",Irvin Kershner,"George Lucas,Lawrence Kasdan,Leigh Brackett",https://www.imdb.com//title/tt0080684/?ref_=chttp_t_15
The Matrix,Cast & crew,"Cyberpunk,Gun Fu,Artificial Intelligence,Philosophical elements",8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss","Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",https://www.imdb.com//title/tt0133093/?ref_=chttp_t_16
Inception,Cast & crew,"Psychological Thriller,Ambitious,Adventure,Thought-provoking",8.8,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",Christopher Nolan,N/A,https://www.imdb.com//title/tt1375666/?ref_=chttp_t_14
Fight Club,Cast & crew,"Drama,Thriller,Psychological Thriller,Social commentary",8.8,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Brad Pitt,Meat Loaf,Edward Norton",David Fincher,"Chuck Palahniuk,Jim Uhls",https://www.imdb.com//title/tt0137523/?ref_=chttp_t_13
Forrest Gump,Cast & crew,"Romance,Drama,Friendship,Back to top",8.8,82,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Gary Sinise,Robin Wright,Tom Hanks",Robert Zemeckis,"Eric Roth,Winston Groom",https://www.imdb.com//title/tt0109830/?ref_=chttp_t_11
The Lord of the Rings: The Two Towers,Cast & crew,"Friendship,Adventure,Adaptation,Sword & Sorcery",8.8,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Viggo Mortensen,Ian McKellen,Elijah Wood",Peter Jackson,",Writers,Fran Walsh,Philippa Boyens,J.R.R. Tolkien",https://www.imdb.com//title/tt0167261/?ref_=chttp_t_12
"The Good, the Bad and the Ugly",Cast & crew,"Adventure,Great ensemble,Adventure Epic,Dramatic tension",8.8,90,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Eli Wallach,Clint Eastwood,Lee Van Cleef",Sergio Leone,",Agenore Incrocci,Writers,Luciano Vincenzoni,Sergio Leone",https://www.imdb.com//title/tt0060196/?ref_=chttp_t_10
Life Is Beautiful,Cast & crew,"Romance,Comedy,Meaning of life,Heartfelt",8.6,58,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Roberto Benigni,",Roberto Benigni,Vincenzo Cerami,Writers",https://www.imdb.com//title/tt0118799/?ref_=chttp_t_27
Inglourious Basterds,Cast & crew,"Drama,Adventure,War,Dark Comedy",8.4,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Eli Roth,Brad Pitt,Diane Kruger",Quentin Tarantino,N/A,https://www.imdb.com//title/tt0361748/?ref_=chttp_t_68
The Dark Knight Rises,Cast & crew,"Drama,Thriller,Satisfying ending,Action",8.4,78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Tom Hardy,Christian Bale,Anne Hathaway",Christopher Nolan,",Jonathan Nolan,David S. Goyer,Christopher Nolan,Writers",https://www.imdb.com//title/tt1345836/?ref_=chttp_t_71
12th Fail,Cast & crew,"Drama,Social commentary,Back to top,Cinematography",8.7,N/A,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Anant Joshi,Vikrant Massey,Medha Shankr",Vidhu Vinod Chopra,",Anurag Pathak,Jaskunwar Kohli,Writers,Vidhu Vinod Chopra",https://www.imdb.com//title/tt23849204/?ref_=chttp_t_69
Aliens,Cast & crew,"Adventure,Creature design,Suspenseful,Special effects",8.4,84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Carrie Henn,Michael Biehn,Sigourney Weaver",James Cameron,",Walter Hill,Writers,James Cameron,David Giler",https://www.imdb.com//title/tt0090605/?ref_=chttp_t_70
The Great Dictator,Cast & crew,"Slapstick,Drama,Social commentary,Comedy",8.4,N/A,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin,Paulette Goddard,Jack Oakie",Charles Chaplin,N/A,https://www.imdb.com//title/tt0032553/?ref_=chttp_t_67
The Shining,Cast & crew,"Drama,Cinematography,Psychological depth,Psychological Horror",8.4,68,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Jack Nicholson,Danny Lloyd,Shelley Duvall",Stanley Kubrick,"Stanley Kubrick,Diane Johnson,Stephen King",https://www.imdb.com//title/tt0081505/?ref_=chttp_t_66
Paths of Glory,Cast & crew,"Drama,Social commentary,War Epic,Legal Drama",8.4,90,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,"Ralph Meeker,Adolphe Menjou,Kirk Douglas",Stanley Kubrick,",Jim Thompson,Stanley Kubrick,Writers,Calder Willingham",https://www.imdb.com//title/tt0050825/?ref_=chttp_t_65
Witness for the Prosecution,Cast & crew,"Drama,Thriller,Legal Drama,Legal Thriller",8.4,76,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Marlene Dietrich,Charles Laughton,Tyrone Power",Billy Wilder,",Agatha Christie,Billy Wilder,Writers,Harry Kurnitz",https://www.imdb.com//title/tt0051201/?ref_=chttp_t_64
Sunset Boulevard,Cast & crew,"Drama,Social commentary,Film Noir,Gothic",8.4,94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Erich von Stroheim,Gloria Swanson,William Holden",Billy Wilder,"Charles Brackett,Billy Wilder,D.M. Marshman Jr.",https://www.imdb.com//title/tt0043014/?ref_=chttp_t_62
The Lives of Others,Cast & crew,"Drama,Thriller,Performance,Social commentary",8.4,89,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Ulrich Mühe,Martina Gedeck,Sebastian Koch",Florian Henckel von Donnersmarck,N/A,https://www.imdb.com//title/tt0405094/?ref_=chttp_t_61
Spider-Man: Into the Spider-Verse,Cast & crew,"Coming-of-Age,Soundtrack,Teen Comedy,Animation style",8.4,87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Hailee Steinfeld,Jake Johnson,Shameik Moore","Bob Persichetti,Peter Ramsey,Rodney Rothman",",Phil Lord,Writers,Rodney Rothman",https://www.imdb.com//title/tt4633694/?ref_=chttp_t_63
Avengers: Infinity War,Cast & crew,"Thrilling,Space Sci-Fi,Action,Adventure",8.4,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Mark Ruffalo,Robert Downey Jr.,Chris Hemsworth","Anthony Russo,Joe Russo",",Stephen McFeely,Christopher Markus,Stan Lee,Writers",https://www.imdb.com//title/tt4154756/?ref_=chttp_t_60
Memento,Cast & crew,"Thriller,Drama,Psychological Thriller,Thought-provoking",8.4,83,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,"Guy Pearce,Joe Pantoliano,Carrie-Anne Moss",Christopher Nolan,"Jonathan Nolan,Christopher Nolan",https://www.imdb.com//title/tt0209144/?ref_=chttp_t_57
Raiders of the Lost Ark,Cast & crew,"Thin story,Action,Adventure,Character development",8.4,86,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.","Karen Allen,Paul Freeman,Harrison Ford",Steven Spielberg,"Lawrence Kasdan,George Lucas,Philip Kaufman",https://www.imdb.com//title/tt0082971/?ref_=chttp_t_59
Dune: Part Two,Cast & crew,"Drama,Space Sci-Fi,Performance,Action",8.5,79,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.","Zendaya,Rebecca Ferguson,Timothée Chalamet",Denis Villeneuve,"Denis Villeneuve,Frank Herbert,Jon Spaihts",https://www.imdb.com//title/tt15239678/?ref_=chttp_t_58
WALL·E,Cast & crew,"Family,Space Sci-Fi,Artificial Intelligence,Social commentary",8.4,95,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Jeff Garlin,Elissa Knight,Ben Burtt",Andrew Stanton,",Pete Docter,Andrew Stanton,Writers,Jim Reardon",https://www.imdb.com//title/tt0910970/?ref_=chttp_t_56
To Kill a Mockingbird,Cast & crew,"Drama,Legal Drama,Cinematography,Family dynamics",8.3,88,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,"Gregory Peck,John Megna,Frank Overton",Robert Mulligan,"Harper Lee,Horton Foote",https://www.imdb.com//title/tt0056592/?ref_=chttp_t_114
A Separation,Cast & crew,"Drama,Social commentary,Legal Drama,Cinematography",8.3,95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Leila Hatami,Sareh Bayat,Payman Maadi",Asghar Farhadi,N/A,https://www.imdb.com//title/tt1832382/?ref_=chttp_t_113
Like Stars on Earth,Cast & crew,"Drama,Coming-of-Age,Family,Social commentary",8.3,N/A,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,"Tisca Chopra,Darsheel Safary,Aamir Khan",Aamir Khan,N/A,https://www.imdb.com//title/tt0986264/?ref_=chttp_t_112
Amélie,Cast & crew,"Romance,Feel-Good Romance,Soundtrack,Comedy",8.3,70,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.","Mathieu Kassovitz,Rufus,Audrey Tautou",Jean-Pierre Jeunet,"Jean-Pierre Jeunet,,Guillaume Laurant,Writers",https://www.imdb.com//title/tt0211915/?ref_=chttp_t_111
Vertigo,Cast & crew,"Romance,Thriller,Psychological Thriller,Ambitious",8.2,100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","James Stewart,Kim Novak,Barbara Bel Geddes",Alfred Hitchcock,",Alec Coppel,Pierre Boileau,Writers,Samuel A. Taylor",https://www.imdb.com//title/tt0052357/?ref_=chttp_t_110
Full Metal Jacket,Cast & crew,"Drama,Standout performance,Duality,Psychological depth",8.2,78,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"R. Lee Ermey,Matthew Modine,Vincent D'Onofrio",Stanley Kubrick,",Gustav Hasford,Stanley Kubrick,Writers,Michael Herr",https://www.imdb.com//title/tt0093058/?ref_=chttp_t_109
Citizen Kane,Cast & crew,"Drama,Cinematography,Enduring legacy,Symbolism",8.3,100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Orson Welles,Joseph Cotten,Dorothy Comingore",Orson Welles,",Orson Welles,Writers,John Houseman,Herman J. Mankiewicz",https://www.imdb.com//title/tt0033467/?ref_=chttp_t_108
North by Northwest,Cast & crew,"Thriller,Drama,Adventure,Iconic imagery",8.3,98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","James Mason,Cary Grant,Eva Marie Saint",Alfred Hitchcock,N/A,https://www.imdb.com//title/tt0053125/?ref_=chttp_t_105
M,Cast & crew,"Thriller,Social commentary,Psychological Thriller,Standout performance",8.3,N/A,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Inge Landgut,Ellen Widmann,Peter Lorre",Fritz Lang,"Thea von Harbou,Egon Jacobsohn,Fritz Lang",https://www.imdb.com//title/tt0022100/?ref_=chttp_t_107
Heat,Cast & crew,"Soundtrack,Great ensemble,Gangster,Drama",8.3,76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Robert De Niro,Val Kilmer,Al Pacino",Michael Mann,N/A,https://www.imdb.com//title/tt0113277/?ref_=chttp_t_103
Double Indemnity,Cast & crew,"Drama,Thriller,Film Noir,Dark tone",8.3,95,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.","Edward G. Robinson,Fred MacMurray,Barbara Stanwyck",Billy Wilder,"Raymond Chandler,James M. Cain,Billy Wilder",https://www.imdb.com//title/tt0036775/?ref_=chttp_t_104
Up,Cast & crew,"Coming-of-Age,Friendship,Comedy,Adventure",8.3,88,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.","Edward Asner,John Ratzenberger,Jordan Nagai","Bob Peterson,Pete Docter",",Tom McCarthy,Pete Docter,Writers,Bob Peterson",https://www.imdb.com//title/tt1049413/?ref_=chttp_t_106
Reservoir Dogs,Cast & crew,"Thriller,Soundtrack,Standout performance,Dialogue",8.3,81,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel,Michael Madsen,Tim Roth",Quentin Tarantino,",Roger Avary,Quentin Tarantino,Writers",https://www.imdb.com//title/tt0105236/?ref_=chttp_t_101
Scarface,Cast & crew,"Drama,Drug Crime,Social commentary,Ambitious",8.3,65,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.","Steven Bauer,Michelle Pfeiffer,Al Pacino",Brian De Palma,",Howard Hawks,Oliver Stone,Ben Hecht,Writers",https://www.imdb.com//title/tt0086250/?ref_=chttp_t_102
Lawrence of Arabia,Cast & crew,"Drama,War Epic,Adventure,Cinematography",8.3,100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Anthony Quinn,Alec Guinness,Peter O'Toole",David Lean,"Michael Wilson,Robert Bolt",https://www.imdb.com//title/tt0056172/?ref_=chttp_t_100
2001: A Space Odyssey,Cast & crew,"Space Sci-Fi,Artificial Intelligence,Ambitious,Philosophical elements",8.3,84,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","William Sylvester,Gary Lockwood,Keir Dullea",Stanley Kubrick,",Stanley Kubrick,Writers,Arthur C. Clarke",https://www.imdb.com//title/tt0062622/?ref_=chttp_t_99
Indiana Jones and the Last Crusade,Cast & crew,"Action,Adventure,Family dynamics,Chemistry",8.2,65,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Alison Doody,Sean Connery,Harrison Ford",Steven Spielberg,",Writers,George Lucas,Jeffrey Boam,Menno Meyjes",https://www.imdb.com//title/tt0097576/?ref_=chttp_t_116
The Best of Youth,Cast & crew,"Romance,Drama,Epic,Back to top",8.5,89,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,"Alessio Boni,Luigi Lo Cascio,Jasmine Trinca",Marco Tullio Giordana,"Stefano Rulli,Sandro Petraglia",https://www.imdb.com//title/tt0346336/?ref_=chttp_t_155
Howl's Moving Castle,Cast & crew,"Family,Hand-Drawn Animation,Adventure,Animation",8.2,82,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Tatsuya Gashûin,Takuya Kimura,Chieko Baishô",Hayao Miyazaki,"Hayao Miyazaki,Diana Wynne Jones",https://www.imdb.com//title/tt0347149/?ref_=chttp_t_158
Prisoners,Cast & crew,"Drama,Thriller,Psychological Thriller,Suspense Mystery",8.2,70,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,"Viola Davis,Hugh Jackman,Jake Gyllenhaal",Denis Villeneuve,N/A,https://www.imdb.com//title/tt1392214/?ref_=chttp_t_153
The Treasure of the Sierra Madre,Cast & crew,"Drama,Dramatic tension,Friendship,Survival",8.2,98,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Tim Holt,Walter Huston,Humphrey Bogart",John Huston,"John Huston,B. Traven",https://www.imdb.com//title/tt0040897/?ref_=chttp_t_154
Yojimbo,Cast & crew,"Drama,Thriller,Action,Cinematography",8.2,93,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshirô Mifune,Tatsuya Nakadai,Eijirô Tôno",Akira Kurosawa,"Akira Kurosawa,,Writers,Ryûzô Kikushima",https://www.imdb.com//title/tt0055630/?ref_=chttp_t_156
Finding Nemo,Cast & crew,"Animal Adventure,Family,Thin story,Friendship",8.2,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Ellen DeGeneres,Alexander Gould,Albert Brooks","Lee Unkrich,Andrew Stanton",",David Reynolds,Andrew Stanton,Writers,Bob Peterson",https://www.imdb.com//title/tt0266543/?ref_=chttp_t_157
A Beautiful Mind,Cast & crew,"Drama,Back to top,Cinematography,Chemistry",8.2,72,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Russell Crowe,Ed Harris,Jennifer Connelly",Ron Howard,"Akiva Goldsman,Sylvia Nasar",https://www.imdb.com//title/tt0268978/?ref_=chttp_t_152
Kill Bill: Vol. 1,Cast & crew,"Thriller,Back to top,Action,Cinematography",8.2,69,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman,David Carradine,Daryl Hannah",Quentin Tarantino,",Quentin Tarantino,Uma Thurman,Writers",https://www.imdb.com//title/tt0266697/?ref_=chttp_t_151
Pan's Labyrinth,Cast & crew,"Coming-of-Age,Ambitious,Fairy Tale,Symbolism",8.2,98,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.","Ivana Baquero,Sergi López,Ariadna Gil",Guillermo del Toro,N/A,https://www.imdb.com//title/tt0457430/?ref_=chttp_t_150
Unforgiven,Cast & crew,"Drama,Cinematography,Western,Atmospheric",8.2,85,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".","Gene Hackman,Clint Eastwood,Morgan Freeman",Clint Eastwood,N/A,https://www.imdb.com//title/tt0105695/?ref_=chttp_t_149
The Thing,Cast & crew,"Soundtrack,Horror craft,Creature design,Suspenseful",8.2,57,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Wilford Brimley,Kurt Russell,Keith David",John Carpenter,"Bill Lancaster,John W. Campbell Jr.",https://www.imdb.com//title/tt0084787/?ref_=chttp_t_148
No Country for Old Men,Cast & crew,"Drama,Thriller,Psychological Thriller,Dark tone",8.2,92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Tommy Lee Jones,Javier Bardem,Josh Brolin","Joel Coen,Ethan Coen","Joel Coen,Ethan Coen,Cormac McCarthy",https://www.imdb.com//title/tt0477348/?ref_=chttp_t_147
The Sixth Sense,Cast & crew,"Drama,Thriller,Psychological Thriller,Standout performance",8.2,64,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.","Toni Collette,Bruce Willis,Haley Joel Osment",M. Night Shyamalan,N/A,https://www.imdb.com//title/tt0167404/?ref_=chttp_t_143
Top Gun: Maverick,Cast & crew,"Drama,Action,Cinematography,Practical effects",8.2,78,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","Tom Cruise,Jennifer Connelly,Miles Teller",Joseph Kosinski,",Peter Craig,Jack Epps Jr.,Jim Cash,Writers",https://www.imdb.com//title/tt1745960/?ref_=chttp_t_146
Casino,Cast & crew,"Drama,Dramatic tension,Dark tone,Ambitious",8.2,73,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","Robert De Niro,Joe Pesci,Sharon Stone",Martin Scorsese,",Nicholas Pileggi,Writers,Martin Scorsese",https://www.imdb.com//title/tt0112641/?ref_=chttp_t_145
Ran,Cast & crew,"Drama,Costume design,War Epic,Action",8.2,97,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Jinpachi Nezu,Tatsuya Nakadai,Akira Terao",Akira Kurosawa,",Akira Kurosawa,Hideo Oguni,Writers,Masato Ide",https://www.imdb.com//title/tt0089881/?ref_=chttp_t_144
